archivo,existe,familia_infys,registros,columnas_total,ciclo_detectado_archivo,granularidad_probable,integracion_recomendada,columnas_administrativas_detectadas,columnas_municipales_detectadas,columnas_cvegeo_detectadas,columnas_coordenadas_detectadas,columnas_temporales_ciclo_detectadas,columnas_sitio_conglomerado_detectadas,n_columnas_numericas_muestra,n_columnas_texto_muestra,faltantes_clave_muestra,observacion_metodologica
infys_deforestacion_incertidumbre_nacional_limpio.csv,si,deforestacion,24,9,,nacional,no_integrar_a_flujos_diarios,,,,,anio,,6,3,{'anio': 0},"Dataset nacional; puede documentarse como contexto general, pero no debe asignarse a municipio-día ni entidad-día sin supuestos adicionales."
infys_suelos_agregados_base_limpio.csv,si,suelos,480,22,,ciclo_sin_clave_espacial,revisar_manual,,,,,ciclo_infys,,9,13,{'ciclo_infys': 0},Tiene temporalidad/ciclo pero no clave espacial detectada; requiere revisión de columnas antes de integrar.
infys_suelos_2015_2020_base_limpio.csv,si,suelos,10855,37,2015-2020,estatal,entidad_contexto,estado,,,,anio | ciclo_infys,id_sitio | idconglomerado | sitio,26,11,"{'anio': 0, 'ciclo_infys': 0, 'estado': 0, 'id_sitio': 0, 'idconglomerado': 0, 'sitio': 0}","Puede integrarse al flujo complementario entidad-día como contexto estructural/ciclo, sin duplicarse todavía en la base diaria."
infys_suelos_2015_2020_agregados_limpio.csv,si,suelos,98,61,2015-2020,ciclo_sin_clave_espacial,revisar_manual,,,,,ciclo_infys,,55,6,{'ciclo_infys': 0},Tiene temporalidad/ciclo pero no clave espacial detectada; requiere revisión de columnas antes de integrar.
infys_indicadores_dasometricos_limpio.csv,si,indicadores_forestales,1148,62,,ciclo_sin_clave_espacial,revisar_manual,,,,,ciclo_infys,,44,18,{'ciclo_infys': 0},Tiene temporalidad/ciclo pero no clave espacial detectada; requiere revisión de columnas antes de integrar.
infys_indicadores_estructura_limpio.csv,si,indicadores_forestales,1320,62,,estatal,entidad_contexto,estado,,,,ciclo_infys,,45,17,"{'ciclo_infys': 0, 'estado': 430}","Puede integrarse al flujo complementario entidad-día como contexto estructural/ciclo, sin duplicarse todavía en la base diaria."
infys_indicadores_salud_forestal_limpio.csv,si,indicadores_forestales,762270,91,,punto_georreferenciado,agregar_espacialmente_antes_de_integrar,estado,,,latitud | longitud | x | y,anio | ciclo_infys,id_sitio | idconglomerado | sitio,64,27,"{'anio': 240, 'ciclo_infys': 0, 'estado': 240, 'id_sitio': 240, 'idconglomerado': 240, 'latitud': 240, 'longitud': 240, 'sitio': 240, 'x': 240, 'y': 240}",Requiere agregación espacial previa por municipio o entidad; no debe unirse directamente a bases diarias.
infys_indicadores_composicion_limpio.csv,si,indicadores_forestales,178502,80,,punto_georreferenciado,agregar_espacialmente_antes_de_integrar,estado,,,latitud | longitud,anio | ciclo_infys,idconglomerado,45,35,"{'anio': 0, 'ciclo_infys': 0, 'estado': 0, 'idconglomerado': 0, 'latitud': 0, 'longitud': 0}",Requiere agregación espacial previa por municipio o entidad; no debe unirse directamente a bases diarias.
infys_indicadores_ivi_ivf_limpio.csv,si,indicadores_forestales,81758,75,,estatal,entidad_contexto,estado,,,,ciclo_infys,id_sitio,66,9,"{'ciclo_infys': 0, 'estado': 5000, 'id_sitio': 0}","Puede integrarse al flujo complementario entidad-día como contexto estructural/ciclo, sin duplicarse todavía en la base diaria."
infys_indicadores_distribucion_at_dn_limpio.csv,si,indicadores_forestales,733628,55,,estatal,entidad_contexto,estado,,,,anio | ciclo_infys,id_sitio | idconglomerado | sitio,32,23,"{'anio': 0, 'ciclo_infys': 0, 'estado': 0, 'id_sitio': 0, 'idconglomerado': 0, 'sitio': 0}","Puede integrarse al flujo complementario entidad-día como contexto estructural/ciclo, sin duplicarse todavía en la base diaria."
infys_indicadores_existencias_limpio.csv,si,indicadores_forestales,48,19,,ciclo_sin_clave_espacial,revisar_manual,,,,,ciclo_infys,,7,12,{'ciclo_infys': 0},Tiene temporalidad/ciclo pero no clave espacial detectada; requiere revisión de columnas antes de integrar.
infys_indicadores_incremento_medio_anual_limpio.csv,si,indicadores_forestales,10409,45,,estatal,entidad_contexto,estado,,,,anio | ciclo_infys,id_sitio | idconglomerado | sitio,34,11,"{'anio': 0, 'ciclo_infys': 0, 'estado': 0, 'id_sitio': 0, 'idconglomerado': 0, 'sitio': 0}","Puede integrarse al flujo complementario entidad-día como contexto estructural/ciclo, sin duplicarse todavía en la base diaria."
infys_indicadores_tipo_propiedad_limpio.csv,si,indicadores_forestales,2318,26,,ciclo_sin_clave_espacial,revisar_manual,,,,,ciclo_infys,,12,14,{'ciclo_infys': 0},Tiene temporalidad/ciclo pero no clave espacial detectada; requiere revisión de columnas antes de integrar.
